('legislative', 'MISC', 'DEM')
('school', 'ORG', 'DEM')
('footballer', 'MISC', 'DEM')
('goalkeeper', 'MISC', 'DEM')
('film', 'DEM', 'MISC')
('Honored', 'ORG', 'MISC')
('Artist', 'ORG', 'MISC')
('of', 'ORG', 'MISC')
('Russia', 'ORG', 'MISC')
('May', 'MISC', 'PERSON')
('Valentine', 'MISC', 'PERSON')
('NWA', 'MISC', 'ORG')
('Powerrr', 'MISC', 'ORG')
('Vuelta', 'ORG', 'MISC')
('a', 'ORG', 'MISC')
('España', 'ORG', 'MISC')
('Giro', 'ORG', 'DATETIME')
('d', 'ORG', 'DATETIME')
('Italia', 'ORG', 'DATETIME')
('football', 'ORG', 'DEM')
('team', 'ORG', 'MISC')
('central', 'DEM', 'MISC')
('defender', 'DEM', 'MISC')
('writing', 'LOC', 'DEM')
('author', 'MISC', 'DEM')
('life', 'DEM', 'MISC')
('major', 'MISC', 'DEM')
('Edinburgh', 'ORG', 'MISC')
('Fringe', 'ORG', 'MISC')
('Festival', 'ORG', 'MISC')
('Canada', 'LOC', 'ORG')
('presentation', 'MISC', 'DEM')
('Canada', 'LOC', 'ORG')
('1962', 'ORG', 'DATETIME')
('FIFA', 'ORG', 'MISC')
('World', 'ORG', 'MISC')
('Cup', 'ORG', 'MISC')
('first', 'PERSON', 'QUANTITY')
('U', 'ORG', 'LOC')
('S', 'ORG', 'LOC')
('Bosnia', 'LOC', 'MISC')
('APTRA', 'MISC', 'ORG')
('RTNDA', 'MISC', 'ORG')
('USL', 'MISC', 'ORG')
('A', 'MISC', 'ORG')
('League', 'MISC', 'ORG')
('USL', 'MISC', 'ORG')
('A', 'MISC', 'ORG')
('League', 'MISC', 'ORG')
('middle', 'DEM', 'MISC')
('blocker', 'DEM', 'MISC')
('Iranian', 'ORG', 'DEM')
('team', 'ORG', 'MISC')
('organization', 'ORG', 'MISC')
('Vice', 'DEM', 'MISC')
('anti', 'MISC', 'DEM')
('agency', 'MISC', 'DEM')
('Party', 'ORG', 'QUANTITY')
('Congress', 'ORG', 'QUANTITY')
('Brother', 'PERSON', 'MISC')
('Adam', 'PERSON', 'MISC')
('breeder', 'MISC', 'DEM')
('The', 'ORG', 'MISC')
('Economist', 'ORG', 'MISC')
('Southampton', 'LOC', 'ORG')
('Aldershot', 'LOC', 'ORG')
('Rochdale', 'LOC', 'ORG')
('Captain', 'PERSON', 'DEM')
('Commonwealth', 'DEM', 'MISC')
('offensive', 'DEM', 'MISC')
('line', 'DEM', 'MISC')
('offensive', 'DEM', 'MISC')
('coordinator', 'DEM', 'MISC')
('interim', 'DEM', 'MISC')
('NFL', 'MISC', 'DATETIME')
('offensive', 'DEM', 'MISC')
('coordinator', 'DEM', 'MISC')
('17th', 'MISC', 'QUANTITY')
('62nd', 'ORG', 'QUANTITY')
('U', 'ORG', 'LOC')
('S', 'ORG', 'LOC')
('state', 'ORG', 'MISC')
('Michigan', 'ORG', 'LOC')
('U', 'MISC', 'LOC')
('S', 'MISC', 'LOC')
('national', 'MISC', 'DEM')
('champion', 'MISC', 'DEM')
('United', 'ORG', 'LOC')
('States', 'ORG', 'LOC')
('1976', 'DATETIME', 'MISC')
('Vedas', 'PERSON', 'MISC')
('one', 'MISC', 'QUANTITY')
('two', 'MISC', 'QUANTITY')
('India', 'LOC', 'ORG')
('traditional', 'MISC', 'DEM')
('Kuru', 'ORG', 'DEM')
('kingdom', 'ORG', 'MISC')
('tradition', 'MISC', 'DEM')
('Ernesto', 'ORG', 'PERSON')
('El', 'ORG', 'PERSON')
('Pato', 'ORG', 'PERSON')
('de', 'ORG', 'PERSON')
('Lucas', 'ORG', 'PERSON')
('Hopkins', 'ORG', 'PERSON')
('III', 'MISC', 'ORG')
('Federal', 'MISC', 'ORG')
('Electoral', 'MISC', 'ORG')
('District', 'MISC', 'ORG')
('Sonora', 'MISC', 'LOC')
('Mexico', 'ORG', 'LOC')
('political', 'DEM', 'MISC')
('figure', 'DEM', 'MISC')
('Yugoslavia', 'LOC', 'ORG')
('2nd', 'DEM', 'QUANTITY')
('2nd', 'DEM', 'QUANTITY')
('7th', 'DEM', 'QUANTITY')
('football', 'MISC', 'DEM')
('defender', 'MISC', 'DEM')
('central', 'DEM', 'MISC')
('defender', 'DEM', 'MISC')
('defensive', 'DEM', 'MISC')
('midfielder', 'DEM', 'MISC')
('Tamil', 'MISC', 'DEM')
('Tamil', 'MISC', 'DEM')
('Tamil', 'MISC', 'DEM')
('comedy', 'MISC', 'DEM')
('drama', 'MISC', 'DEM')
('film', 'DEM', 'MISC')
('American', 'MISC', 'DEM')
('acting', 'MISC', 'DEM')
('business', 'MISC', 'DEM')
('American', 'MISC', 'DEM')
('United', 'DEM', 'LOC')
('States', 'DEM', 'LOC')
('base', 'MISC', 'DEM')
('player', 'MISC', 'DEM')
('chaperone', 'MISC', 'DEM')
('right', 'MISC', 'DEM')
('handed', 'MISC', 'DEM')
('fielder', 'MISC', 'DEM')
('four', 'QUANTITY', 'DATETIME')
('Women', 'MISC', 'ORG')
('in', 'MISC', 'ORG')
('Baseball', 'MISC', 'ORG')
('defensive', 'DEM', 'MISC')
('tackle', 'DEM', 'MISC')
('Super', 'ORG', 'MISC')
('Bowl', 'ORG', 'MISC')
('stroke', 'DEM', 'MISC')
('Hollywood', 'LOC', 'MISC')
('magazine', 'ORG', 'DEM')
('The', 'ORG', 'MISC')
('Library', 'ORG', 'MISC')
('of', 'ORG', 'MISC')
('America', 'ORG', 'MISC')
('series', 'ORG', 'MISC')
('NCAA', 'MISC', 'ORG')
('Southwest', 'MISC', 'ORG')
('Conference', 'MISC', 'ORG')
('heart', 'DEM', 'MISC')
('attack', 'DEM', 'MISC')
('right', 'MISC', 'DEM')
('fielder', 'MISC', 'DEM')
('right', 'MISC', 'DEM')
('handed', 'MISC', 'DEM')
('pitcher', 'MISC', 'DEM')
('manager', 'MISC', 'DEM')
('one', 'QUANTITY', 'DATETIME')
('two', 'QUANTITY', 'DATETIME')
('manager', 'MISC', 'DEM')
('13', 'MISC', 'QUANTITY')
('Riverside', 'ORG', 'LOC')
('Park', 'ORG', 'LOC')
('several', 'QUANTITY', 'DATETIME')
('major', 'MISC', 'DEM')
('63', 'LOC', 'QUANTITY')
('ex', 'MISC', 'DEM')
('boyfriend', 'MISC', 'DEM')
('Crash', 'MISC', 'ORG')
('Override', 'MISC', 'ORG')
('center', 'MISC', 'DEM')
('Empress', 'PERSON', 'DEM')
('Empress', 'PERSON', 'DEM')
('Hayti', 'PERSON', 'MISC')
('Empress', 'PERSON', 'DEM')
('of', 'PERSON', 'DEM')
('Haiti', 'PERSON', 'DEM')
('8th', 'ORG', 'QUANTITY')
('District', 'ORG', 'QUANTITY')
('state', 'ORG', 'MISC')
('Cao', 'ORG', 'MISC')
('Wei', 'ORG', 'MISC')
('China', 'LOC', 'ORG')
('Wei', 'ORG', 'DEM')
('government', 'ORG', 'DEM')
('Sima', 'ORG', 'PERSON')
('clan', 'ORG', 'MISC')
('Wei', 'DEM', 'MISC')
('Wei', 'DEM', 'MISC')
('Wei', 'DEM', 'MISC')
('Eastern', 'ORG', 'MISC')
('Wu', 'ORG', 'MISC')
('Wei', 'ORG', 'DEM')
('Lt', 'PERSON', 'DEM')
('Gen', 'PERSON', 'DEM')
('General', 'PERSON', 'DEM')
('Billy', 'PERSON', 'DEM')
('Lt', 'PERSON', 'DEM')
('Gen', 'PERSON', 'DEM')
('Central', 'DEM', 'ORG')
('Army', 'DEM', 'ORG')
('Sri', 'LOC', 'ORG')
('Lanka', 'LOC', 'ORG')
('The', 'ORG', 'MISC')
('Lt', 'MISC', 'DEM')
('Gen', 'MISC', 'DEM')
('F', 'MISC', 'DEM')
('N', 'MISC', 'DEM')
('Billimoria', 'MISC', 'DEM')
('Lucknow', 'ORG', 'LOC')
('Cantonment', 'ORG', 'LOC')
('karate', 'MISC', 'DEM')
('JKA', 'MISC', 'ORG')
('karate', 'MISC', 'DEM')
('karate', 'MISC', 'DEM')
('Colorado', 'ORG', 'LOC')
('European', 'ORG', 'MISC')
('Indoor', 'ORG', 'MISC')
('Championships', 'ORG', 'MISC')
('Portuguese', 'ORG', 'DEM')
('crown', 'ORG', 'MISC')
('founder', 'MISC', 'DEM')
('Brazil', 'ORG', 'LOC')
('poker', 'MISC', 'DEM')
('PokerStars', 'MISC', 'ORG')
('website', 'MISC', 'DEM')
('poker', 'MISC', 'DEM')
('Textbook', 'MISC', 'ORG')
('Assault', 'MISC', 'ORG')
('Amazon', 'MISC', 'ORG')
('com', 'MISC', 'ORG')
('Chegg', 'MISC', 'ORG')
('com', 'MISC', 'ORG')
('Barnes', 'MISC', 'ORG')
('Noble', 'MISC', 'ORG')
('eCampus', 'MISC', 'ORG')
('com', 'MISC', 'ORG')
('January', 'DATETIME', 'DEM')
('21', 'DATETIME', 'DEM')
('1991', 'DATETIME', 'DEM')
('physical', 'MISC', 'DEM')
('education', 'MISC', 'DEM')
('professional', 'MISC', 'DEM')
('footballer', 'MISC', 'DEM')
('goalkeeper', 'MISC', 'DEM')
('jamesgascoyne', 'MISC', 'PERSON')
('daughter', 'MISC', 'DEM')
('great', 'MISC', 'DEM')
('great', 'MISC', 'DEM')
('granddaughter', 'MISC', 'DEM')
('Chairman', 'MISC', 'DEM')
('CEO', 'MISC', 'DEM')
('Chairman', 'MISC', 'DEM')
