Unnamed: 0,semantic_type,span_text,offsets,doc_id,probability,label,tokens,no_tokens,no_subtokens
1252,PERSON,Napoleon,"(205, 213)",th-odolinde-de-beauharnais,[-2.611500845671163],MASK,['Napoleon'],1,0
1253,PERSON,Junaid Akbar,"(0, 12)",junaid-akbar,"[-4.008375360371765, -5.975412956471771, -2.425943530856169]",MASK,"['Jun', '##aid', 'Akbar']",2,1
1254,PERSON,جنید اکبر,"(20, 29)",junaid-akbar,"[-4.710658340706433, -5.825581923126136, -4.49687366465496, -4.638875944596118, -3.5110298100033424, -4.373521621984767, -4.1264796053053345, -4.29119698852429]",MASK,"['ج', '##ن', '##ی', '##د', 'ا', '##ک', '##ب', '##ر']",2,6
1255,DATETIME,23 March 1977,"(37, 50)",junaid-akbar,"[-3.5140155315834942, -4.060002845554103, -2.2286599023849076]",MASK,"['23', 'March', '1977']",3,0
1256,DEM,Pakistani,"(57, 66)",junaid-akbar,[-1.7610951591592032],NO_MASK,['Pakistani'],1,0
1257,DEM,politician,"(67, 77)",junaid-akbar,[-0.1575935192432651],NO_MASK,['politician'],1,0
1258,ORG,National Assembly of Pakistan,"(107, 136)",junaid-akbar,"[-4.131122272600824, -3.239414796428492, -3.2663734439287158, -2.9705321716180784]",NO_MASK,"['National', 'Assembly', 'of', 'Pakistan']",4,0
1259,DATETIME,August 2018,"(144, 155)",junaid-akbar,"[-4.1818381323089815, -1.30101494323426]",MASK,"['August', '2018']",2,0
1260,ORG,National Assembly,"(192, 209)",junaid-akbar,"[-3.4363296114971034, -2.823136081597949]",NO_MASK,"['National', 'Assembly']",2,0
1261,DATETIME,June 2013,"(215, 224)",junaid-akbar,"[-4.178741560870631, -3.2572569339865156]",MASK,"['June', '2013']",2,0
1262,DATETIME,May 2018,"(228, 236)",junaid-akbar,"[-3.732863704876955, -2.637873452588851]",MASK,"['May', '2018']",2,0
1263,PERSON,Junaid akbar,"(239, 251)",junaid-akbar,"[-5.086932466535566, -6.6780517060068645, -2.7704099295528417, -4.510510663589735, -5.240543326961431]",MASK,"['Jun', '##aid', 'a', '##k', '##bar']",2,3
1264,MISC,founding member,"(259, 274)",junaid-akbar,"[-3.864907333116801, -0.8339692707571844]",NO_MASK,"['founding', 'member']",2,0
1265,ORG,Pakistan Tehreek-e-Insaf,"(278, 302)",junaid-akbar,"[-2.803800716473096, -4.900749043775139, -6.394793189935675, -5.622523910670267, -2.782470557844004, -3.7588107773484403, -2.46986294918448, -3.3929557261871466, -5.747092592812946, -4.8631748542183]",MASK,"['Pakistan', 'Te', '##hr', '##eek', '-', 'e', '-', 'In', '##sa', '##f']",6,4
1266,MISC,Provincial Joint Secretary,"(383, 409)",junaid-akbar,"[-4.099948651056248, -5.1127027872827995, -2.3576690584214486]",MASK,"['Provincial', 'Joint', 'Secretary']",3,0
1267,LOC,Khyber Pakhtunkhwa,"(413, 431)",junaid-akbar,"[-4.294046061578543, -6.275416660743797, -7.401444398928428, -5.178935882386208, -6.941322882455464, -8.436165198887323, -6.770793929239199]",MASK,"['K', '##hy', '##ber', 'Pak', '##ht', '##unk', '##hwa']",2,5
1268,DEM,Admiral,"(5, 12)",newton-e-mason,[-1.3266009630149405],NO_MASK,['Admiral'],1,0
1269,PERSON,Newton Eliphalet Mason,"(13, 35)",newton-e-mason,"[-5.589463115228459, -6.372593673107171, -5.28927130669377, -4.8770941427602486, -5.3368684628683685]",MASK,"['Newton', 'Eli', '##pha', '##let', 'Mason']",3,2
1270,DATETIME,14 October 1850,"(37, 52)",newton-e-mason,"[-3.462543712666335, -4.323225024700459, -5.677958141828292]",MASK,"['14', 'October', '1850']",3,0
1271,DATETIME,23 January 1945,"(55, 70)",newton-e-mason,"[-4.0787875655822505, -4.98330458058431, -3.3194751359856625]",MASK,"['23', 'January', '1945']",3,0
1272,ORG,United States Navy,"(78, 96)",newton-e-mason,"[-5.092025996208995, -5.199586236778821, -3.3696660971405263]",NO_MASK,"['United', 'States', 'Navy']",3,0
1273,DEM,officer,"(97, 104)",newton-e-mason,[-2.2979656292837136],NO_MASK,['officer'],1,0
1274,MISC,Spanish–American War,"(140, 160)",newton-e-mason,"[-3.47113840784439, -8.814525267044093, -4.71755730510693, -2.7244624839176654]",MASK,"['Spanish', '–', 'American', 'War']",4,0
1275,MISC,World War I,"(180, 191)",newton-e-mason,"[-5.632438427261291, -2.8921712982612533, -4.589374536461141]",NO_MASK,"['World', 'War', 'I']",3,0
1276,DEM,Chief of the Bureau of Ordnance,"(258, 289)",newton-e-mason,"[-2.6851420615643424, -3.2327766617825775, -2.021331789914153, -4.928825068823932, -3.351159879528752, -3.397164796459995]",MASK,"['Chief', 'of', 'the', 'Bureau', 'of', 'Ordnance']",6,0
1277,PERSON,Giovanni Toti,"(0, 13)",giovanni-toti,"[-4.567780859925968, -4.304516959668229, -5.140790499640079]",MASK,"['Giovanni', 'To', '##ti']",2,1
1278,DATETIME,7 September 1968,"(20, 36)",giovanni-toti,"[-4.40445331615227, -3.9269160940748566, -1.6923603104981875]",MASK,"['7', 'September', '1968']",3,0
1279,DEM,Italian,"(44, 51)",giovanni-toti,[-1.9268320277847004],MASK,['Italian'],1,0
1280,DEM,journalist,"(52, 62)",giovanni-toti,[-3.478422916263857],NO_MASK,['journalist'],1,0
1281,DEM,politician,"(67, 77)",giovanni-toti,[-0.35621296671531805],NO_MASK,['politician'],1,0
1282,DEM,President,"(92, 101)",giovanni-toti,[-1.68094249958412],NO_MASK,['President'],1,0
1283,LOC,Liguria,"(105, 112)",giovanni-toti,"[-4.635236908924493, -6.094975638309874, -5.776102280549556]",MASK,"['Li', '##gu', '##ria']",1,2
1284,DATETIME,June 2015,"(119, 128)",giovanni-toti,"[-3.873443904565853, -1.501368089347834]",MASK,"['June', '2015']",2,0
1285,ORG,Toti,"(130, 134)",giovanni-toti,"[-4.994443773709614, -6.091865299698219]",MASK,"['To', '##ti']",1,1
1286,ORG,European Parliament,"(159, 178)",giovanni-toti,"[-4.616728579803853, -1.908284984619148]",NO_MASK,"['European', 'Parliament']",2,0
1287,DATETIME,2014,"(194, 198)",giovanni-toti,[-2.633852253751116],MASK,['2014'],1,0
1288,DEM,European,"(199, 207)",giovanni-toti,[-4.393927752634565],NO_MASK,['European'],1,0
1289,MISC,election,"(208, 216)",giovanni-toti,[-0.47498018020947685],NO_MASK,['election'],1,0
1290,PERSON,Kenneth Michael Hays,"(0, 20)",k-michael-hays,"[-3.887920855520886, -2.6109053999407124, -4.510155012134298, -3.215405552000259]",MASK,"['Kenneth', 'Michael', 'Hay', '##s']",3,1
1291,DATETIME,"October 18, 1952","(27, 43)",k-michael-hays,"[-3.487269054409247, -4.6833923150804235, -3.1759675140522448, -1.7169311292700138]",MASK,"['October', '18', ',', '1952']",4,0
1292,DEM,American,"(51, 59)",k-michael-hays,[-1.1318892006615948],NO_MASK,['American'],1,0
1293,DEM,architectural historian,"(60, 83)",k-michael-hays,"[-4.109099959570069, -1.7882769569374166]",NO_MASK,"['architectural', 'historian']",2,0
1294,DEM,professor,"(88, 97)",k-michael-hays,[-0.6132347719047015],NO_MASK,['professor'],1,0
1295,PERSON,Eliot Noyes,"(123, 134)",k-michael-hays,"[-7.3084626374227595, -6.19910013659352, -7.746583829419813]",MASK,"['Eliot', 'No', '##yes']",2,1
1296,DEM,Professor of Architectural Theory,"(135, 168)",k-michael-hays,"[-1.3587918477637229, -3.452546440086473, -7.273553133703685, -7.211413169671586]",MASK,"['Professor', 'of', 'Architectural', 'Theory']",4,0
1297,ORG,Harvard University's Graduate School of Design,"(172, 218)",k-michael-hays,"[-2.269930979254055, -2.1627878713577853, -3.2885146795683244, -3.5800111970417734, -4.404860277636407, -3.9501354897908962, -2.4625083008934014, -6.692764226227331]",MASK,"['Harvard', 'University', ""'"", 's', 'Graduate', 'School', 'of', 'Design']",8,0
1298,DEM,co-director,"(232, 243)",k-michael-hays,"[-4.412544066216689, -4.559076992331047, -0.7606375973141295]",NO_MASK,"['co', '-', 'director']",3,0
1299,MISC,Doctor of Design,"(303, 319)",k-michael-hays,"[-2.9102428302695023, -4.318646124308649, -4.72139433554863]",NO_MASK,"['Doctor', 'of', 'Design']",3,0
1300,PERSON,Damjan Blečić,"(0, 13)",damjan-ble-i-,"[-4.335985921710968, -4.968021509768538, -3.558632093937938, -4.972358044690681, -5.156932108241214]",MASK,"['Dam', '##jan', 'B', '##le', '##čić']",2,3
1301,DATETIME,20 March 1980,"(20, 33)",damjan-ble-i-,"[-3.2672930942793834, -4.313383245803231, -1.5030091098790845]",MASK,"['20', 'March', '1980']",3,0
1302,LOC,Belgrade,"(37, 45)",damjan-ble-i-,[-3.0631386304963786],NO_MASK,['Belgrade'],1,0
1303,DEM,Serbian,"(52, 59)",damjan-ble-i-,[-4.448528011362528],NO_MASK,['Serbian'],1,0
1304,DEM,handballer,"(60, 70)",damjan-ble-i-,"[-3.7749851067395297, -4.946593888399971]",NO_MASK,"['handball', '##er']",1,1
1305,ORG,RK Crvena zvezda,"(85, 101)",damjan-ble-i-,"[-3.937205796376983, -4.700568549318851, -3.4549435579125696, -7.205215680502559, -4.74288845010026, -4.333605330651273, -6.155649032846013, -3.9769084287013485]",NO_MASK,"['R', '##K', 'C', '##rve', '##na', 'z', '##vez', '##da']",3,5
1306,MISC,Serbian Superleague,"(109, 128)",damjan-ble-i-,"[-3.3395293497394642, -4.109229526369921, -3.279269776097718]",NO_MASK,"['Serbian', 'Super', '##league']",2,1
1307,PERSON,Aakash Dahiya,"(0, 13)",aakash-dahiya,"[-3.1656127436916464, -5.934572346168236, -4.943040912386288, -3.2051823322110837, -4.702345000692912, -4.739202475782256]",MASK,"['A', '##aka', '##sh', 'Da', '##hi', '##ya']",2,4
1308,DATETIME,20 September 1986,"(20, 37)",aakash-dahiya,"[-3.80789873013794, -4.10182903817288, -1.6178133145918394]",MASK,"['20', 'September', '1986']",3,0
1309,LOC,Mumbai,"(44, 50)",aakash-dahiya,[-2.329099215435328],NO_MASK,['Mumbai'],1,0
1310,DEM,actor,"(57, 62)",aakash-dahiya,[-0.33387769840587445],NO_MASK,['actor'],1,0
1311,DEM,casting director,"(67, 83)",aakash-dahiya,"[-4.6857844767956385, -1.2979402875243142]",NO_MASK,"['casting', 'director']",2,0
1312,ORG,Bollywood,"(114, 123)",aakash-dahiya,[-1.9679483098576211],NO_MASK,['Bollywood'],1,0
1313,PERSON,Ottilie Ethel Leopoldine Herbert,"(0, 32)",tilly-losch,"[-3.8670505279036265, -6.0288921419012675, -5.021658592636724, -3.366528972357959, -5.35086036439156, -6.551345980435299, -5.4080552430988]",MASK,"['O', '##tti', '##lie', 'Ethel', 'Leopold', '##ine', 'Herbert']",4,3
1314,ORG,Countess of Carnarvon,"(34, 55)",tilly-losch,"[-5.381174401383829, -3.3804189247357663, -6.261800147032596, -6.967659634188481, -6.686722615905208]",MASK,"['Countess', 'of', 'Car', '##nar', '##von']",3,2
1315,PERSON,née Losch,"(57, 66)",tilly-losch,"[-1.772501970006071, -4.695266599006353, -5.312825791463873]",MASK,"['née', 'Los', '##ch']",2,1
1316,DATETIME,"November 15, 1903","(68, 85)",tilly-losch,"[-5.372464983556433, -4.809920867992437, -1.1615793753850476, -5.5052201765261914]",MASK,"['November', '15', ',', '1903']",4,0
1317,DATETIME,"December 24, 1975","(88, 105)",tilly-losch,"[-5.6278430965037325, -5.382156275152732, -0.7351655053400171, -4.460677050129402]",MASK,"['December', '24', ',', '1975']",4,0
1318,PERSON,Tilly Losch,"(132, 143)",tilly-losch,"[-4.2588934701041525, -4.025545454508504, -4.95366748985944, -4.972629913973769]",MASK,"['Till', '##y', 'Los', '##ch']",2,2
1319,DEM,Austrian,"(152, 160)",tilly-losch,[-3.8593677589998454],MASK,['Austrian'],1,0
1320,MISC,dancer,"(161, 167)",tilly-losch,[-4.866416748814609],NO_MASK,['dancer'],1,0
1321,MISC,choreographer,"(169, 182)",tilly-losch,[-4.8094460497484866],NO_MASK,['choreographer'],1,0
1322,MISC,actress,"(184, 191)",tilly-losch,[-2.5636477431207503],NO_MASK,['actress'],1,0
1323,MISC,painter,"(197, 204)",tilly-losch,[-1.3871462132319716],NO_MASK,['painter'],1,0
1324,LOC,United States,"(254, 267)",tilly-losch,"[-2.66102319081068, -2.5288999821063545]",MASK,"['United', 'States']",2,0
1325,LOC,United Kingdom,"(272, 286)",tilly-losch,"[-3.4338358495895216, -3.4751842515608247]",MASK,"['United', 'Kingdom']",2,0
1326,PERSON,Damon Jerome Keith,"(0, 18)",damon-keith,"[-4.898752948502372, -4.034490168519094, -4.256281470411807]",MASK,"['Damon', 'Jerome', 'Keith']",3,0
1327,DATETIME,"July 4, 1922","(20, 32)",damon-keith,"[-4.2265271766779815, -3.0077903805069637, -1.6458176035508565, -4.459907189903661]",MASK,"['July', '4', ',', '1922']",4,0
1328,DATETIME,"April 28, 2019","(35, 49)",damon-keith,"[-5.213665494808078, -4.361790973905126, -1.676684215546776, -5.177677831562202]",MASK,"['April', '28', ',', '2019']",4,0
1329,ORG,United States Circuit,"(57, 78)",damon-keith,"[-4.558245505968387, -6.021244874905437, -6.533870915500425]",NO_MASK,"['United', 'States', 'Circuit']",3,0
1330,DEM,Judge,"(79, 84)",damon-keith,[-3.8263463605841586],NO_MASK,['Judge'],1,0
1331,ORG,United States Court of Appeals,"(92, 122)",damon-keith,"[-3.3118824772159994, -3.9005926424537525, -4.114315899248576, -1.9813192851852466, -5.6118412134828075]",MASK,"['United', 'States', 'Court', 'of', 'Appeals']",5,0
1332,ORG,Sixth Circuit,"(131, 144)",damon-keith,"[-5.109905279267613, -4.569511592040283]",MASK,"['Sixth', 'Circuit']",2,0
1333,ORG,United States,"(158, 171)",damon-keith,"[-5.207915209830974, -5.551636995293142]",NO_MASK,"['United', 'States']",2,0
1334,DEM,District Judge,"(172, 186)",damon-keith,"[-4.9881620472416275, -3.8096086506948]",NO_MASK,"['District', 'Judge']",2,0
1335,ORG,United States District Court,"(194, 222)",damon-keith,"[-3.287848060802078, -3.5800774710233707, -3.2942847315080823, -4.63916289044122]",NO_MASK,"['United', 'States', 'District', 'Court']",4,0
1336,LOC,Eastern District of Michigan,"(231, 259)",damon-keith,"[-4.220740994108013, -2.4049184314550165, -2.4399816670790955, -5.133295864021427]",MASK,"['Eastern', 'District', 'of', 'Michigan']",4,0
1337,PERSON,Fredric March,"(0, 13)",fredric-march,"[-3.0917401510046334, -5.756415765894128, -3.5192235998502195]",MASK,"['Fred', '##ric', 'March']",2,1
1338,PERSON,Ernest Frederick McIntyre Bickel,"(20, 52)",fredric-march,"[-5.11545211176134, -4.668912921199116, -5.801576374478736, -4.278256686332419, -5.488658602363755, -5.484966396170519]",MASK,"['Ernest', 'Frederick', 'McIntyre', 'B', '##ick', '##el']",4,2
1339,DATETIME,"August 31, 1897","(54, 69)",fredric-march,"[-3.8898578799390418, -5.201165566082644, -1.4504534060376886, -4.733888456541466]",MASK,"['August', '31', ',', '1897']",4,0
1340,DATETIME,"April 14, 1975","(72, 86)",fredric-march,"[-4.024719194580805, -3.893330563878478, -1.5856057296952542, -2.8570040807810293]",MASK,"['April', '14', ',', '1975']",4,0
1341,DEM,American,"(95, 103)",fredric-march,[-2.5412579505064885],NO_MASK,['American'],1,0
1342,DEM,actor,"(104, 109)",fredric-march,[-0.024471071623489722],NO_MASK,['actor'],1,0
1343,DATETIME,1930s,"(183, 188)",fredric-march,[-1.8125742106105454],MASK,['1930s'],1,0
1344,DATETIME,1940s,"(193, 198)",fredric-march,[-2.3964877992070432],MASK,['1940s'],1,0
1345,ORG,Academy Award for Best,"(212, 234)",fredric-march,"[-2.6499832014651363, -1.7012713366899417, -1.6664590473809628, -2.4316518993613494]",NO_MASK,"['Academy', 'Award', 'for', 'Best']",4,0
1346,DEM,Actor,"(235, 240)",fredric-march,[-4.153625777806915],NO_MASK,['Actor'],1,0
1347,MISC,Dr. Jekyll,"(245, 255)",fredric-march,"[-4.79174268230774, -1.539837438019137, -5.9970397988451065, -5.188822624046963, -5.715798703970761]",MASK,"['Dr', '.', 'Je', '##ky', '##ll']",3,2
1348,MISC,Mr. Hyde,"(260, 268)",fredric-march,"[-4.741001388406692, -1.41270616769063, -6.677451357939935]",MASK,"['Mr', '.', 'Hyde']",3,0
1349,DATETIME,1931,"(270, 274)",fredric-march,[-4.762969202344117],MASK,['1931'],1,0
1350,MISC,The Best Years of Our Lives,"(280, 307)",fredric-march,"[-2.4926699629798503, -0.7527895009089592, -5.237771118522991, -4.372523421162559, -5.023341360417436, -5.3362746223425805]",MASK,"['The', 'Best', 'Years', 'of', 'Our', 'Lives']",6,0
1351,DATETIME,1946,"(309, 313)",fredric-march,[-4.283099870018231],MASK,['1946'],1,0
1352,ORG,Tony Award for Best Actor,"(331, 356)",fredric-march,"[-2.362859569179767, -1.5266223148825555, -2.252630181867056, -0.4073071511838314, -2.39003454522189]",NO_MASK,"['Tony', 'Award', 'for', 'Best', 'Actor']",5,0
1353,MISC,Years Ago,"(371, 380)",fredric-march,"[-4.696526236902375, -2.9489802270631147, -4.8646407369795766]",MASK,"['Years', 'A', '##go']",2,1
1354,DATETIME,1947,"(382, 386)",fredric-march,[-4.5818750216305375],MASK,['1947'],1,0
1355,MISC,Long Day's Journey into Night,"(392, 421)",fredric-march,"[-4.174769896850213, -5.707668623443406, -3.6796641800451404, -3.544065217733074, -6.67241993234519, -4.666402263296787, -5.202085645344315]",MASK,"['Long', 'Day', ""'"", 's', 'Journey', 'into', 'Night']",7,0
1356,DATETIME,1956,"(423, 427)",fredric-march,[-3.924372892226585],MASK,['1956'],1,0
1357,PERSON,March,"(430, 435)",fredric-march,[-5.473146404162695],MASK,['March'],1,0
1358,QUANTITY,two,"(451, 454)",fredric-march,[-0.012643810290471543],NO_MASK,['two'],1,0
1359,DEM,actors,"(455, 461)",fredric-march,[-5.827579119442872],NO_MASK,['actors'],1,0
1360,PERSON,Helen Hayes,"(479, 490)",fredric-march,"[-3.626552789709329, -3.5133978296853616]",MASK,"['Helen', 'Hayes']",2,0
1361,ORG,Academy Award,"(513, 526)",fredric-march,"[-4.8931463399648845, -3.773510896247053]",MASK,"['Academy', 'Award']",2,0
1362,ORG,Tony Award,"(535, 545)",fredric-march,"[-4.926958249767529, -4.036307417216812]",MASK,"['Tony', 'Award']",2,0
1363,QUANTITY,twice,"(546, 551)",fredric-march,[-3.0558471429968903],MASK,['twice'],1,0
1364,PERSON,Thomas Wearn Gabrielsson,"(0, 24)",thomas-w-gabrielsson,"[-2.5634545257874266, -4.169249965602062, -4.8352784670997435, -3.5701966767819564, -3.5173891617253576, -5.609281083189168]",MASK,"['Thomas', 'We', '##ar', '##n', 'Gabriel', '##sson']",3,3
1365,DATETIME,29 June 1963,"(31, 43)",thomas-w-gabrielsson,"[-3.7625780882844624, -4.1685812675719465, -1.796953415793613]",MASK,"['29', 'June', '1963']",3,0
1366,DEM,Swedish,"(50, 57)",thomas-w-gabrielsson,[-4.305954254150384],NO_MASK,['Swedish'],1,0
1367,DEM,actor,"(58, 63)",thomas-w-gabrielsson,[-2.215739483839832],NO_MASK,['actor'],1,0
1368,LOC,Sweden,"(75, 81)",thomas-w-gabrielsson,[-2.2615383870177124],NO_MASK,['Sweden'],1,0
1369,LOC,Denmark,"(86, 93)",thomas-w-gabrielsson,[-2.465594933977095],NO_MASK,['Denmark'],1,0
1370,LOC,Gothenburg,"(111, 121)",thomas-w-gabrielsson,[-3.136201060049984],NO_MASK,['Gothenburg'],1,0
1371,PERSON,Warren Clarke,"(0, 13)",warren-clarke,"[-3.517423651900546, -3.324304970202245]",MASK,"['Warren', 'Clarke']",2,0
1372,PERSON,Alan James Clarke,"(20, 37)",warren-clarke,"[-5.270945307039863, -3.9151492959031327, -5.877319001895897]",MASK,"['Alan', 'James', 'Clarke']",3,0
1373,DATETIME,26 April 1947,"(39, 52)",warren-clarke,"[-4.051944452592049, -4.710609205543961, -2.5103101019604845]",MASK,"['26', 'April', '1947']",3,0
1374,DATETIME,2 November 2014,"(56, 71)",warren-clarke,"[-3.7743227859288053, -4.069102713325365, -4.279631895356061]",MASK,"['12', 'November', '2014']",3,0
1375,DEM,English,"(80, 87)",warren-clarke,[-3.3267707303783647],NO_MASK,['English'],1,0
1376,DEM,actor,"(88, 93)",warren-clarke,[-0.002067143323161648],NO_MASK,['actor'],1,0
1377,PERSON,Dim,"(149, 152)",warren-clarke,"[-3.6857071433203457, -4.413560573428638]",MASK,"['Di', '##m']",1,1
1378,PERSON,Stanley Kubrick,"(156, 171)",warren-clarke,"[-4.800026042844619, -4.7074369115282035, -7.2522590088525005, -4.856162290285868]",MASK,"['Stanley', 'Ku', '##bri', '##ck']",2,2
1379,MISC,A Clockwork Orange,"(174, 192)",warren-clarke,"[-2.566144372480645, -5.2330147567300145, -4.646047780479399, -5.222701792150935]",MASK,"['A', 'Clock', '##work', 'Orange']",3,1
1380,PERSON,Dalzie,"(230, 236)",warren-clarke,"[-3.782682726441993, -5.303542872268934]",MASK,"['Dal', '##zie']",1,1
1381,PERSON,Pascoe,"(242, 248)",warren-clarke,"[-3.9447246591973717, -6.50831571987564, -2.91104505258159]",MASK,"['Pa', '##sco', '##e']",1,2
1382,PERSON,Superintendent Andy Dalziel,"(263, 290)",warren-clarke,"[-4.134772762869396, -3.31012771327935, -4.733877669605908, -5.975778146473006, -3.7765489935548904]",MASK,"['Superintendent', 'Andy', 'Dal', '##zie', '##l']",3,2
1383,MISC,The Manageress and Sleepers,"(293, 320)",warren-clarke,"[-2.338887103300201, -6.457857634362799, -5.715674106398735, -2.3460655901041187, -4.046055846665235, -4.172918254944548]",MASK,"['The', 'Manager', '##ess', 'and', 'Sleep', '##ers']",4,2
1384,PERSON,Glenn Sharpe,"(0, 12)",glenn-sharpe,"[-2.966857654542706, -3.443681974265882]",MASK,"['Glenn', 'Sharpe']",2,0
1385,DATETIME,"February 27, 1984","(19, 36)",glenn-sharpe,"[-3.2481320831624934, -4.260561183384649, -4.00525804294414, -1.1071992840516032]",MASK,"['February', '27', ',', '1984']",4,0
1386,DEM,American,"(44, 52)",glenn-sharpe,[-0.0159057330436409],NO_MASK,['American'],1,0
1387,DEM,cornerback,"(62, 72)",glenn-sharpe,"[-3.0963928654312727, -3.1477420327792984]",NO_MASK,"['corner', '##back']",1,1
1388,ORG,Indianapolis Colts,"(97, 115)",glenn-sharpe,"[-2.8197323560836325, -3.0071112539041844]",MASK,"['Indianapolis', 'Colts']",2,0
1389,ORG,National Football League,"(123, 147)",glenn-sharpe,"[-3.172869632490737, -3.3920148428288885, -3.159974699868694]",NO_MASK,"['National', 'Football', 'League']",3,0
1390,ORG,Atlanta Falcons,"(170, 185)",glenn-sharpe,"[-3.4076667042960613, -1.9478716856133609]",MASK,"['Atlanta', 'Falcons']",2,0
1391,DATETIME,2008,"(216, 220)",glenn-sharpe,[-0.8784700786747633],NO_MASK,['2008'],1,0
1392,ORG,University of Miami,"(256, 275)",glenn-sharpe,"[-1.725257362779912, -3.528561871389818, -1.955269597669268]",MASK,"['University', 'of', 'Miami']",3,0
1393,PERSON,Sharpe,"(277, 283)",glenn-sharpe,[-5.476358157055796],MASK,['Sharpe'],1,0
1394,ORG,New Orleans Saints,"(314, 332)",glenn-sharpe,"[-4.502742422848579, -4.85397980362129, -3.498807785314781]",MASK,"['New', 'Orleans', 'Saints']",3,0
1395,PERSON,Marcel J.F. Stive,"(0, 17)",marcel-stive,"[-6.36451127420878, -4.625121903447191, -1.662786477068077, -4.433369134931306, -1.1167748775763584, -5.193242086905306, -5.783839230840363]",MASK,"['Marcel', 'J', '.', 'F', '.', 'St', '##ive']",6,1
1396,LOC,Amsterdam,"(19, 28)",marcel-stive,[-6.2048473813420015],MASK,['Amsterdam'],1,0
1397,DATETIME,"February 25, 1951","(30, 47)",marcel-stive,"[-6.982907997619754, -6.247386881135386, -0.0846614955247283, -6.9001476360994785]",MASK,"['February', '25', ',', '1951']",4,0
1398,DEM,Dutch,"(54, 59)",marcel-stive,[-5.961997228224502],MASK,['Dutch'],1,0
1399,MISC,professor of coastal engineering,"(60, 92)",marcel-stive,"[-5.356376942927875, -1.905082099466184, -5.508254132685721, -6.025984798955993]",NO_MASK,"['professor', 'of', 'coastal', 'engineering']",4,0
1400,ORG,Faculty of Civil Engineering and Geosciences,"(100, 144)",marcel-stive,"[-5.71311862271268, -2.5113505831773018, -6.019109784156261, -6.261729060829391, -1.3114696015960576, -4.054374296836321, -7.129419448639742, -8.277521384464876, -4.138160785298057]",NO_MASK,"['Faculty', 'of', 'Civil', 'Engineering', 'and', 'G', '##eo', '##science', '##s']",6,3
1401,ORG,Delft University of Technology,"(148, 178)",marcel-stive,"[-6.416250457810631, -6.261041577790485, -4.666419303635252, -1.471093467206399, -5.924663640806062]",MASK,"['Del', '##ft', 'University', 'of', 'Technology']",4,1
1402,PERSON,"Herbert ""Bert"" Tindill","(0, 22)",bert-tindill,"[-2.5732297622930393, -2.980480137588668, -4.90615932538451, -3.4453005196630353, -4.728390113707444, -6.774308389223307, -4.935039640476993]",MASK,"['Herbert', '""', 'Bert', '""', 'Tin', '##di', '##ll']",5,2
1403,DATETIME,31 December 1926,"(24, 40)",bert-tindill,"[-3.3541757178948037, -4.418379707009327, -4.14166112716455]",MASK,"['31', 'December', '1926']",3,0
1404,DATETIME,10 July 1973,"(43, 55)",bert-tindill,"[-3.1808264740490046, -3.6790144625857164, -3.572533823216234]",MASK,"['10', 'July', '1973']",3,0
1405,DEM,English,"(64, 71)",bert-tindill,[-0.6975783353262928],NO_MASK,['English'],1,0
1406,DEM,footballer,"(72, 82)",bert-tindill,[-0.6916829672249486],NO_MASK,['footballer'],1,0
1407,MISC,inside forward,"(100, 114)",bert-tindill,"[-3.1021228649387536, -1.8049914168113999]",NO_MASK,"['inside', 'forward']",2,0
1408,QUANTITY,550,"(129, 132)",bert-tindill,[-3.0971405688737454],MASK,['550'],1,0
1409,ORG,Football League,"(133, 148)",bert-tindill,"[-7.807390126957534, -6.837829096474611]",NO_MASK,"['Football', 'League']",2,0
1410,MISC,Second World War,"(184, 200)",bert-tindill,"[-5.0336836344737845, -5.253808752601167, -1.5856000284673006]",NO_MASK,"['Second', 'World', 'War']",3,0
1411,PERSON,Lois Joseph,"(0, 11)",lois-joseph,"[-3.1599727268466755, -2.994069840607793]",MASK,"['Lois', 'Joseph']",2,0
1412,DATETIME,31 July 1934,"(18, 30)",lois-joseph,"[-4.530193904619482, -4.3158805446892154, -1.7228823927615484]",MASK,"['31', 'July', '1934']",3,0
1413,DEM,Australian,"(38, 48)",lois-joseph,[-1.2592881691617275],MASK,['Australian'],1,0
1414,DEM,fencer,"(49, 55)",lois-joseph,"[-7.395423440266543, -5.993445114730149]",MASK,"['fence', '##r']",1,1
1415,DATETIME,1956,"(114, 118)",lois-joseph,[-1.4673216842867594],MASK,['1956'],1,0
1416,PERSON,Aleksandr Dzhigero,"(0, 18)",aleksandr-dzhigero,"[-3.028429287620734, -5.367618294679964, -9.413838502476695, -5.435371087131578, -4.035531976162686]",MASK,"['Aleksandr', 'D', '##zhi', '##ger', '##o']",2,3
1417,DEM,Belarusian,"(20, 30)",aleksandr-dzhigero,[-3.4546486350876062],NO_MASK,['Belarusian'],1,0
1418,PERSON,Аляксандр Джыгера,"(32, 49)",aleksandr-dzhigero,"[-4.362179594839014, -5.049803212980818, -5.583750358842368, -5.667938596210229, -5.873093280849075, -5.856888463225782, -4.50280889681458, -6.825782539056435, -4.9605438345860495, -7.121748836013841, -7.991327076762264, -9.09434234592887, -6.03444872504688, -6.167407868504925, -4.846199125288188, -5.2635672161997915]",MASK,"['А', '##л', '##я', '##к', '##с', '##а', '##н', '##д', '##р', 'Д', '##ж', '##ы', '##г', '##е', '##р', '##а']",2,14
